store_name,location,prague,floor_area,avg_weekly_opening_hours,sunday_opening_hours,price_category,lottery_pos,pudo_pos,number_of_employees,number_of_vehicles,education,real_estate_price_sqm,construction_permits,number_of_internet_subscirbers,number_of_job_seekers,pit_capita,number_of_births,population,x0_50m_avg,x50_100m_avg,x100_plusm_avg,newspaper_shelves,non_newspaper_shelves
16,Main street,0,16.8,66.5,0,7,0,1,3,17982,8039,18838.559219348663,12,21096,2098,102.26530123712129,477,29925,969985.71944444429,604026.53703703696,533826.6514814815,8.1583333337000017,0.78333333320000009
17,Main street,0,67.2,58.25,0,7,1,1,2,49542,27229,19929.501052188523,156,45548,2413,113.1485549281114,1054,58484,0,0,0,13.416666670000001,1.5277777779000001
18,Kaufland,0,76.95599999999999,82,10,8,1,1,5,5658,3654,24408.020739928517,39,3570,148,120.05586616414014,121,4906,0,0,0,20.350000000000001,9.9
19,Mall,0,54,74,8,9,0,1,3,49542,27229,19929.501052188523,156,45548,2413,113.1485549281114,1054,58484,0,793771.72592592589,1950983.6685185186,20.166666663000001,2.5416666671000003
20,Kaufland,0,34.704,83,11,8,1,1,0,5496,3361,21518.821640114376,65,3981,174,113.00969024321286,92,5142,3649720.2481481479,0,711893.17962962959,9.9,4.95
21,Albert,0,45.35999999999999,71,9,8,0,1,4,49542,27229,#MISSING,156,45548,2413,113.1485549281114,1054,58484,2904879.3314814814,0,0,11,5.5
22,Kaufland,0,95.39999999999999,93,12,8,1,1,0,5469,1860,16477.16606957425,56,4450,298,97.53249717019023,166,5788,8731799.5296296291,0,0,20.900000000000002,8.8000000000000007
23,Albert,0,21.24,86.50000000000001,8.5,8,1,1,0,3858,1634,8975.9916923868313,1,2808,530,84.4705014401984,98,4957,1173564.5644444444,542935.40925925924,1193073.1944444443,6.0500000000000007,3.3000000000000003
24,Mall,1,32.4,82,10,9,1,0,4,69306,66625,1365382.234804895,597,886683,1910,127.54845491605842,2083,102324,10610527.718518518,0,1839389.6537037038,13.108333337000001,2.1736111111
25,Mall,0,60,80,#MISSING,9,1,1,3,63760,47516,16586.666786140977,385,75780,5537,87.81789622894932,1695,104913,991900.24999999988,0,1820782.3885185183,16.683333337000001,2.9416666664000002
26,Main street,0,19.2,61,0,7,1,1,2,83845,57181,18217.198671497579,667,87412,11437,91.92542842104444,2564,124543,0,0,195828.21944444443,12.65,1.0069444440000002
27,Main street,0,27.599999999999998,65,#MISSING,7,0,1,2,7359,2369,9949.0084632878479,4,5823,1749,63.970212688832696,211,10895,649482.20833333326,0,780567.66259259242,10.822222221800001,1.3888888893000002
28,Main street,0,21.599999999999998,78,4,8,1,1,3,83845,57181,6851.8518518518513,667,87412,11437,91.92542842104444,2564,124543,0,1176461.1842592591,157053.12098148145,13.291666663000001,1.0069444440000002
29,Mall,1,33.228,75,4,9,1,1,2,29588,35251,47306.977066798943,91,886683,571,146.96206290316812,761,43590,1584786.4074074072,0,578229.255,12.741666663000002,1.5069444445
30,Main street,0,88.8,70,3,8,0,1,6,23085,15856,17904.002757140497,103,24148,1947,100.01383902543803,581,34226,0,2103800.2814814812,1007577.9642592593,17.600000000000001,6.6763888884000009
31,Main street,1,43.488,75,0,8,0,1,2,11296,3977,21414.740180704903,16,886683,797,92.22855962645468,250,11311,0,675157.61296296294,589781.72037037031,12.283333337,2.8305555553000001
32,Main street,0,57.599999999999994,94,10,9,1,1,4,63760,47516,15049.590674603172,385,75780,5537,87.81789622894932,1695,104913,1064716.2268518517,0,1067166.6035185184,17.966666663000002,2.0833333334000002
33,Kaufland,0,42,74,8,8,0,1,4,63760,47516,15049.590674603172,385,75780,5537,87.81789622894932,1695,104913,3179997.0185185182,0,0,12.100000000000001,5.5
34,Main street,0,43.199999999999996,70,0,8,1,1,3,63760,47516,20647.229497354496,385,75780,5537,87.81789622894932,1695,104913,0,0,0,8.8000000000000007,0.87499999950000007
35,Main street,0,34.8,75,3,8,1,1,2,53112,25529,20851.446142078174,270,43213,4485,94.7815168625651,1498,65438,0,1844535.6644444442,636532.64296296285,12.741666663000002,0.96666666690000003
36,Main street,0,55.8,70,3.9999999999999991,7,0,1,2,6478,2773,7773.138377556661,8,8052,576,72.03726778067549,146,10924,188477.49814814812,0,351952.48129629629,11.641666663000001,1.9749999995
37,Main street,0,39.6,66,0,7,0,1,3,16493,7358,11312.376686014381,14,14936,1437,72.31404056888222,512,26278,0,909991.30277777778,540857.74888888886,12.283333337,0.55000000000000004
38,Main street,0,26.88,69,3,7,1,1,2,10410,4523,12235.652648148145,13,9736,918,76.8128035491402,355,16528,389023.48611111112,0,301531.39666666661,15.400000000000002,0.87499999950000007
39,Main street,0,14.399999999999999,67,0,7,0,0,2,63760,47516,16586.666786140977,385,75780,5537,87.81789622894932,1695,104913,0,0,605770.59092592588,6.6000000000000005,0.53333333350000001
40,Main street,0,4.8,69,3,7,0,0,2,10410,4523,12235.652648148145,13,9736,918,76.8128035491402,355,16528,0,0,692690.02092592581,8.7083333337000006,0
41,Kaufland,0,58.559999999999995,73,6.9999999999999991,8,1,1,3,53112,25529,20851.446142078174,270,43213,4485,94.7815168625651,1498,65438,0,0,1826495.206111111,15.400000000000002,5.5
42,Mall,0,23.16,74,8,8,0,1,2,53112,25529,20851.446142078174,270,43213,4485,94.7815168625651,1498,65438,954798.9644444444,0,1844535.6644444442,11.666666671000002,0.16666666720000001
43,Main street,0,45.6,71,3.9999999999999991,8,1,1,2,53112,25529,20851.446142078174,270,43213,4485,94.7815168625651,1498,65438,0,3384148.8,553630.11444444442,12.833333337000001,1.6083333332
44,Main street,0,43.199999999999996,59,#MISSING,7,1,1,3,2809,815,6373.2362482853232,3,2196,857,67.61092235548823,104,4414,197704.31666666665,0,376550.25925925921,15.222222224000001,4.1305555555
45,Albert,0,34.344,71,8,8,1,1,3,12342,4455,12622.000970281657,31,8862,1071,76.3322398081883,356,18924,1182194.5833333333,0,0,11,4.4000000000000004
46,Market,0,9.6,41.00000000000001,6,8,0,0,2,53112,25529,20851.446142078174,270,43213,4485,94.7815168625651,1498,65438,0,0,789650.65925925912,6.6000000000000005,0
47,Albert,0,30,76,10,8,0,1,3,16493,7358,11312.376686014381,14,14936,1437,72.31404056888222,512,26278,2489012.9148148149,0,929869.65462962957,11.55,3.8500000000000005
48,Mall,0,38.952,80,8,9,1,1,5,58980,39428,12128.994517543859,81,64501,8847,84.59952986869048,1804,99801,7592614.8074074071,0,1284866.0387037036,12.65,2.9888888887
49,Kaufland,0,48.948,74,8,8,1,1,5,58980,39428,11964.302816358024,81,64501,8847,84.59952986869048,1804,99801,4347863.859259259,0,489219.87537037034,14.850000000000001,4.95
50,Main street,0,76.8,69,3,8,1,1,2,6414,2761,10540.057605820108,4,4824,1080,87.97528312520524,200,9823,0,0,368374.15648148145,12.833333337000001,2.7402777776000002
51,Main street,0,28.2,72,#MISSING,7,1,1,3,10057,3387,5508.5084522595962,1,8403,3617,55.12447643952585,520,18851,0,0,1423838.611111111,14.116666663000002,2.2777777781000004
52,Main street,0,32.4,53.99999999999999,0,7,0,1,2,2171,933,9732.0408950617275,7,1561,625,71.41781087973519,87,2942,0,0,495003.81574074068,10.816666666300002,2.2625000002000006
53,Main street,0,38.4,55,0,7,1,1,2,5151,2664,10389.540918803419,3,3882,620,86.79855609987723,140,6864,0,0,20022.611111111109,11.366666663000002,1.7097222219000001
54,Main street,0,13.2,61,0,7,0,1,2,9922,4502,9528.0304191033138,8,11075,1895,86.51421953190484,303,16661,0,0,772704.54537037027,9.3500000000000014,1.0555555560000001
55,Main street,0,30,53,0,7,0,1,5,5309,2556,9489.1630880880857,10,4597,1161,76.60221208409017,194,8723,0,0,487005.16166666668,11.916666663000001,1.7111111116000002
56,Mall,0,7.199999999999999,55.5,0,7,0,0,2,1638,647,5043.2541910331374,0,1611,441,56.31974009096815,130,3315,344114.02222222218,0,0,9.3500000000000014,0.77916666630000009
57,Albert,0,55.440000000000005,76,10,8,0,1,4,58980,39428,14953.298752012881,81,64501,8847,84.59952986869048,1804,99801,6323955.2722222218,0,221509.10462962961,14.3,7.7000000000000011
58,Kaufland,0,96.276,82,10,8,1,1,0,58980,39428,12128.994517543859,81,64501,8847,84.59952986869048,1804,99801,1999173.6537037035,0,0,20.900000000000002,13.200000000000001
59,Albert,0,35.76,74,8,8,1,1,0,5309,2556,9489.1630880880857,10,4597,1161,76.60221208409017,194,8723,3075249.2574074073,0,0,13.750000000000002,4.4000000000000004
60,Mall,1,51.6,81,8.9999999999999982,9,0,0,3,25370,16622,37403.020326694626,216,886683,982,109.67586957947103,573,29609,9657287.1759259254,0,0,20.166666663000001,1.7500000001000002
61,Main street,1,62.4,82,10,9,1,1,4,19395,12723,83353.665579169858,42,886683,442,110.65444055677797,256,25658,0,0,2203620.0370370368,26.583333337000003,3.0902777774000003
62,Mall,1,8.4,62,0,9,0,0,2,45384,53179,128545.6795789571,111,886683,753,143.87664152562462,1023,63677,0,1980964.9074074072,0,8.4249999999000007,0
63,Kaufland,1,49.452,89.50000000000001,11.5,8,1,1,4,60232,45795,57970.877287763593,333,886683,1743,117.01578025091808,1561,81966,14155407.824074073,0,637532.00462962966,11,7.7000000000000011
64,Main street,1,16.8,63,0,8,1,1,2,18581,20874,45054.116503367004,135,886683,1261,102.92088741517428,616,47921,0,794673.94074074074,1637442.48,9.4416666663000015,0.78333333320000009
65,Mall,1,38.4,81,8.9999999999999982,8,1,1,3,33198,17528,24412.653370370361,46,886683,1910,98.4236189320822,807,48446,4014197.2740740739,0,808237.99870370363,13.933333337000001,1.7500000001000002
66,Market,1,10.799999999999999,65,0,7,0,0,2,69306,66625,37634.603040123453,597,886683,1910,127.54845491605842,2083,102324,0,0,2554678.9425925924,6.6000000000000005,1.1000000000000001
67,Main street,1,38.4,61,0,8,0,1,3,50843,50768,33478.968603887566,100,886683,2519,118.66167145571792,1530,94458,0,314788.38981481479,3053662.2814814812,11.733333337000001,0.6916666669
68,Main street,1,21.599999999999998,72,0,8,0,1,2,60232,45795,30571.596016144336,333,886683,1743,117.01578025091808,1561,81966,0,2952245.8259259257,1336409.9357407407,11.733333337000001,0.73611111090000003
69,Mall,1,24.479999999999997,92,8,8,0,0,3,50843,50768,37067.703599605535,100,886683,2519,118.66167145571792,1530,94458,3564809.0185185182,0,2696870.7611111109,8.7083333337000006,0.87499999950000007
70,Market,1,27.599999999999998,78,6,8,0,1,3,33198,17528,25809.538638344209,46,886683,1910,98.4236189320822,807,48446,0,0,2260425.9277777774,11,0
71,Kaufland,1,80.38799999999999,90.00000000000001,12,8,1,1,3,69306,66625,1365382.234804895,597,886683,1910,127.54845491605842,2083,102324,7999812.3222222216,0,0,17.600000000000001,8.8000000000000007
72,Mall,1,18,84,9,9,1,0,4,29588,35251,40344.141045751654,91,886683,571,146.96206290316812,761,43590,6037977.8166666664,0,1435828.848148148,13.211111111000001,0.86805555540000012
73,Albert,0,65.04,97.99999999999999,13.999999999999998,8,1,1,4,17610,9640,27667.729714040808,95,12319,668,127.16126532553821,330,14213,5251355.3629629631,0,0,15.400000000000002,12.65
74,Mall,1,20.4,67,0,8,0,1,2,60232,45795,57970.877287763593,333,886683,1743,117.01578025091808,1561,81966,949454.05703703698,0,913884.20685185178,11.641666663000001,0
75,Main street,1,117.6,67,0,8,1,1,2,19395,12723,83353.665579169858,42,886683,442,110.65444055677797,256,25658,0,0,1102766.670925926,30.983333337000005,1.6666666665000001
76,Albert,0,22.92,76,10,8,0,1,3,33258,13731,20819.816052906495,156,23209,1304,98.9822555111477,818,31580,2729756.9555555554,0,344504.09444444446,10.450000000000001,3.3000000000000003
77,Albert,1,36.48,68,8,8,1,1,1.5,25840,13715,22909.032875691784,190,886683,2158,89.84114395101213,751,40316,3139456.0500000003,0,0,14.3,3.3000000000000003
78,Mall,1,59.315999999999995,81,8.9999999999999982,9,0,1,3,32774,18712,24000.012873357227,125,886683,1989,90.98462097556516,1027,50374,791575.31722222222,0,3365232.0685185185,25.3,3.4527777779000002
79,Mall,1,33.36,81,8.9999999999999982,9,1,1,3,24820,23842,37592.099146981607,347,886683,3025,94.48461779871792,911,58179,5462086.8129629623,0,0,15.491666663000002,2.1736111111
80,Main street,1,43.440000000000005,72,3.9999999999999991,8,0,1,1,25840,13715,27473.072046783625,190,886683,2158,89.84114395101213,751,40316,0,0,1894215.6333333333,13.200000000000001,1.4972222221000002
81,Albert,0,35.4,77,11,8,0,1,0,15955,8598,14761.480142966797,22,13720,1229,98.17351046698872,346,19781,5376379.6148148151,0,1000197.5842592592,13.200000000000001,4.95
82,Mall,0,62.4,74,8,9,1,1,4,62566,40414,21294.483458882609,122,64284,6616,83.89277351400156,1578,94312,1574356.1379629627,0,1647566.9196296297,22.744444448000003,1.7500000001000002
83,Main street,0,66,56,0,8,0,1,2,8815,3271,18240.40026693359,20,6735,507,107.25169252228346,212,11227,0,0,3784133.6388888885,14.941666663000001,2.3861111109000004
84,Main street,0,25.2,55,0,7,0,1,2,6419,2061,10528.084074074073,8,4869,376,73.32744571048453,124,7246,70876.671296296292,0,773212.94351851847,12.466666663000002,0.33333333330000003
85,Main street,0,6,49.99999999999999,0,7,1,1,2,3753,1112,13624.628289760345,9,2687,412,78.55872501007018,88,5300,0,0,1205520.8314814814,11,1.1499999995000001
86,Albert,0,36,74,8,8,0,1,3,3916,1391,50283.606400966193,1,3302,827,64.13704476688972,91,5262,1830449.112037037,0,0,11,3.3000000000000003
87,Albert,0,45.72,66,6.9999999999999991,8,0,1,0,62566,40414,16183.647627965036,122,64284,6616,83.89277351400156,1578,94312,2604377.0722222221,0,0,16.5,5.5
88,Main street,0,18,61,0,8,0,1,2,38552,18766,20176.460848209732,371,30826,1557,100.89419635855539,855,44863,0,1124978.6981481481,1819517.0672222222,9.0888888892999997,0.87499999950000007
89,Main street,0,20.4,79.5,4.5,8,1,1,3,30124,12812,27690.548441193896,257,27554,387,74.46245724091689,651,35809,0,0,1785986.6472222221,16.041666663000001,1.4444444443000002
90,Main street,0,52.8,60,0,7,0,1,2,26923,17024,28760.575590618242,79,26975,1383,105.67358102464797,744,34563,0,0,1869658.3907407408,13.291666663000001,0.73611111090000003
91,Main street,0,62.4,68,0,7,1,1,2,30124,12812,27690.548441193896,257,27554,387,74.46245724091689,651,35809,0,0,1075687.1042592591,16.408333337000002,1.0694444442
92,Main street,0,34.8,72,4.5,7,1,1,2,38552,18766,20176.460848209732,371,30826,1557,100.89419635855539,855,44863,0,472417.53518518514,1368330.6435185184,11.916666663000001,0.73611111090000003
93,Market,0,16.8,70,6.5000000000000009,8,1,1,3,38552,18766,20176.460848209732,371,30826,1557,100.89419635855539,855,44863,0,3072365.3444444439,2559470.6999999997,11.55,1.6500000000000001
94,Main street,0,24,64,0,8,1,1,2,16007,5529,25418.003321315442,519,13238,304,84.3553023487234,423,18634,0,0,1062253.4774074072,14.116666663000002,0.87499999950000007
