store_name,location,prague,floor_area,avg_weekly_opening_hours,sunday_opening_hours,price_category,lottery_pos,pudo_pos,number_of_employees,number_of_vehicles,education,real_estate_price_sqm,construction_permits,number_of_internet_subscirbers,number_of_job_seekers,pit_capita,number_of_births,population,x0_50m_avg,x50_100m_avg,x100_plusm_avg,newspaper_shelves,non_newspaper_shelves
143,Main street,0,22.8,67,0,8,1,1,3,27985,15157,17027.382761567467,35,23166,2427,82.5383854796986,712,37983,0,0,987025.79166666663,15.125000000000002,0.87499999950000007
144,Main street,0,22.8,66.5,4.5,8,1,0,2,21551,8489,11793.717010222887,10,20508,2187,87.02799974308695,449,29225,0,0,971160.93111111107,14.116666663000002,0.98611111060000001
145,Main street,0,12,66,0,8,1,0,2,27539,13586,13637.303256745867,78,24324,1817,98.28098487446039,632,33827,290301.21203703701,0,937772.64962962957,6.6000000000000005,1.0111111108999999
146,Main street,0,19.2,61,0,8,1,1,2,27539,13586,13637.303256745867,78,24324,1817,98.28098487446039,632,33827,0,1539186.1648148147,0,11,0.45833333370000001
147,Market,0,9.6,45.00000000000001,6,8,0,0,2,21551,8489,11793.717010222887,10,20508,2187,87.02799974308695,449,29225,0,1698436.3898148148,946399.21462962951,5.5,0
148,Albert,0,34.416,75,9,8,0,1,3,21551,8489,11793.717010222887,10,20508,2187,87.02799974308695,449,29225,3315264.7407407407,0,572274.86203703703,13.750000000000002,2.2000000000000002
149,Albert,0,21,76,10,8,0,1,0,9949,4992,17242.499361034592,13,7478,677,75.63920763366092,164,13148,4639606.4388888888,428636.54444444441,0,7.7000000000000011,3.3000000000000003
150,Albert,0,34.92,76,10,8,0,1,0,27539,13586,13637.303256745867,78,24324,1817,98.28098487446039,632,33827,0,0,3243022.5462962962,12.65,4.4000000000000004
151,Mall,0,43.14,84,12,8,0,1,3,28477,18564,13948.875769542319,208,28192,3751,99.32953588683426,801,45089,600354.61388888885,0,1401313.5768518518,15.400000000000002,2.9416666664000002
152,Main street,0,37.44,64.5,3,7,1,1,2,7482,3647,9093.1946666666663,5,5476,668,86.66570054807214,234,9248,0,0,551350.85018518521,13.016666663000001,1.3902777779000002
